R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Juventus,7%,43%,51%
2,Cagliari,6%,45%,49%
3,Inter,6%,45%,48%
4,Brescia,6%,47%,47%
5,Cesena,6%,47%,47%
6,Lecce,6%,50%,44%
7,Catania,6%,46%,48%
8,Roma,5%,52%,42%
9,Udinese,5%,42%,54%
10,Napoli,5%,48%,47%
11,Palermo FC,5%,47%,48%
12,Genoa,5%,46%,49%
13,Chievo,5%,44%,51%
14,Sampdoria,5%,46%,49%
15,Bologna,4%,49%,47%
16,Fiorentina,4%,48%,48%
17,Lazio,4%,44%,51%
18,Bari,4%,46%,50%
19,AC Milan,4%,40%,57%
20,Parma Calcio 1913,3%,44%,53%
