R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Augsburg,50,5,5,0,3
2,Paderborn,48,5,15,4,2
3,FC Koln,45,5,13,4,2
4,Werder Bremen,42,4,19,1,3
5,Mainz 05,41,4,16,3,1
6,Fortuna Duesseldorf,40,6,14,3,4
7,Union Berlin,38,5,11,3,1
8,Eintracht Frankfurt,36,6,13,3,2
9,Hoffenheim,33,7,5,6,2
10,Bayer Leverkusen,32,1,9,2,0
11,Hertha Berlin,30,6,14,7,2
12,Freiburg,29,7,8,3,0
13,Wolfsburg,26,5,10,5,0
14,Borussia Dortmund,26,2,7,3,3
15,Schalke 04,26,8,16,6,2
16,Borussia M.Gladbach,24,5,10,1,0
17,RB Leipzig,23,3,9,2,0
18,Bayern Munich,19,3,6,3,1
