R,Team,Left Side,Attempts from the middle,Right Side
1,Paderborn,23%,55%,21%
2,Eintracht Frankfurt,21%,66%,13%
3,Fortuna Duesseldorf,21%,62%,18%
4,Augsburg,21%,63%,16%
5,Freiburg,20%,62%,18%
6,Union Berlin,19%,66%,15%
7,Borussia Dortmund,18%,64%,18%
8,Bayern Munich,17%,67%,16%
9,Hoffenheim,16%,71%,13%
10,Bayer Leverkusen,15%,67%,18%
11,Borussia M.Gladbach,15%,71%,14%
12,FC Koln,15%,68%,17%
13,RB Leipzig,15%,71%,13%
14,Hertha Berlin,14%,74%,12%
15,Werder Bremen,14%,68%,18%
16,Mainz 05,14%,71%,15%
17,Wolfsburg,13%,73%,15%
18,Schalke 04,13%,72%,15%
