R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Deportivo Alaves,10%,62%,28%
2,Sevilla,9%,62%,30%
3,Levante,9%,49%,42%
4,Osasuna,9%,52%,39%
5,Granada,9%,48%,43%
6,Real Madrid,8%,54%,38%
7,Atletico Madrid,8%,58%,34%
8,Valencia,8%,56%,36%
9,Mallorca,7%,50%,43%
10,Real Betis,7%,55%,38%
11,Barcelona,7%,58%,35%
12,Real Sociedad,7%,58%,34%
13,Eibar,7%,51%,42%
14,Espanyol,7%,52%,41%
15,Getafe,7%,56%,37%
16,Athletic Bilbao,6%,53%,41%
17,Villarreal,6%,57%,37%
18,Celta Vigo,5%,55%,40%
19,Real Valladolid,5%,49%,47%
20,Leganes,5%,53%,43%
