R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Getafe,14%,53%,33%
2,Athletic Bilbao,9%,53%,37%
3,Celta Vigo,9%,51%,40%
4,Mallorca,8%,56%,36%
5,Real Valladolid,8%,52%,40%
6,Espanyol,8%,53%,39%
7,Levante,8%,59%,34%
8,Real Madrid,7%,58%,34%
9,Real Betis,7%,60%,33%
10,Atletico Madrid,7%,45%,48%
11,Osasuna,7%,57%,37%
12,Leganes,7%,56%,37%
13,Eibar,7%,62%,31%
14,Villarreal,7%,53%,39%
15,Valencia,6%,53%,41%
16,Deportivo Alaves,6%,54%,40%
17,Barcelona,6%,51%,42%
18,Real Sociedad,6%,60%,34%
19,Sevilla,5%,48%,47%
20,Granada,5%,53%,42%
