R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,64,2,12,6,2
2,Real Madrid,45,3,10,11,1
3,Real Sociedad,36,4,10,4,2
4,Villarreal,36,10,6,10,1
5,Atletico Madrid,34,0,10,6,1
6,Granada,32,3,10,5,2
7,Levante,32,1,7,5,2
8,Sevilla,30,3,13,7,1
9,Valencia,30,2,8,5,1
10,Osasuna,28,2,8,8,0
11,Mallorca,26,1,4,8,1
12,Real Betis,26,3,13,6,0
13,Getafe,24,2,10,6,1
14,Athletic Bilbao,21,3,8,8,1
15,Leganes,19,2,6,3,0
16,Real Valladolid,18,2,8,3,1
17,Celta Vigo,17,4,10,6,0
18,Eibar,17,2,12,7,1
19,Deportivo Alaves,15,4,9,6,0
20,Espanyol,12,0,9,4,2
