R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Granada,44,3,11,6,1
2,Deportivo Alaves,42,5,7,3,0
3,Real Valladolid,38,2,11,6,0
4,Elche,38,2,8,6,1
5,Celta Vigo,37,4,8,7,1
6,Cadiz,37,1,10,9,1
7,Eibar,35,4,5,3,0
8,Levante,35,8,9,3,2
9,Real Betis,34,0,5,8,3
10,Valencia,33,1,12,5,2
11,Osasuna,33,2,6,5,2
12,SD Huesca,29,2,15,5,2
13,Real Sociedad,28,0,6,3,1
14,Villarreal,27,3,5,7,2
15,Athletic Bilbao,24,1,11,5,1
16,Barcelona,23,1,7,5,2
17,Getafe,22,4,7,7,3
18,Sevilla,19,2,6,4,2
19,Real Madrid,14,0,6,7,1
20,Atletico Madrid,14,2,5,1,3
