R,Team,Left Side,Middle of the pitch,Right Side
1,Osasuna,45%,25%,30%
2,Eibar,43%,21%,36%
3,Real Madrid,42%,24%,34%
4,Deportivo Alaves,41%,25%,35%
5,Real Valladolid,41%,22%,36%
6,Athletic Bilbao,40%,22%,38%
7,SD Huesca,40%,23%,37%
8,Getafe,39%,23%,38%
9,Levante,39%,24%,37%
10,Atletico Madrid,38%,26%,36%
11,Elche,38%,21%,40%
12,Valencia,37%,27%,37%
13,Real Betis,37%,22%,41%
14,Cadiz,37%,23%,40%
15,Villarreal,37%,27%,36%
16,Barcelona,36%,32%,32%
17,Real Sociedad,36%,25%,39%
18,Sevilla,34%,23%,42%
19,Celta Vigo,34%,25%,41%
20,Granada,33%,22%,45%
