R,Team,Left Side,Attempts from the middle,Right Side
1,Osasuna,25%,59%,16%
2,Barcelona,22%,63%,15%
3,SD Huesca,22%,68%,10%
4,Athletic Bilbao,21%,65%,14%
5,Real Madrid,20%,67%,13%
6,Celta Vigo,20%,67%,13%
7,Villarreal,20%,63%,17%
8,Levante,20%,65%,14%
9,Real Valladolid,18%,66%,15%
10,Deportivo Alaves,18%,65%,17%
11,Valencia,17%,64%,18%
12,Real Betis,17%,67%,15%
13,Real Sociedad,17%,67%,15%
14,Granada,17%,68%,15%
15,Cadiz,17%,69%,14%
16,Atletico Madrid,16%,70%,15%
17,Sevilla,16%,68%,16%
18,Getafe,15%,68%,16%
19,Eibar,15%,63%,22%
20,Elche,15%,68%,17%
