R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Real Sociedad,12%,57%,31%
2,Real Madrid,9%,53%,38%
3,Barcelona,9%,55%,36%
4,Elche,9%,58%,33%
5,Celta Vigo,8%,62%,30%
6,Osasuna,8%,54%,39%
7,Deportivo Alaves,8%,60%,32%
8,Sevilla,8%,57%,35%
9,Cadiz,8%,55%,38%
10,Villarreal,8%,63%,29%
11,Eibar,8%,54%,38%
12,SD Huesca,8%,56%,36%
13,Athletic Bilbao,7%,57%,36%
14,Atletico Madrid,7%,60%,34%
15,Granada,7%,50%,43%
16,Real Betis,6%,51%,43%
17,Valencia,6%,47%,47%
18,Getafe,6%,55%,39%
19,Levante,6%,55%,39%
20,Real Valladolid,5%,58%,37%
