Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,15.3,6.4,13.5,13.8,6.87
2. Real Madrid,14.4,4.6,11.3,12.5,6.86
3. Atletico Madrid,12.1,4.9,9.8,11.7,6.84
4. Sevilla,12.1,3.8,10.3,12.8,6.70
5. Villarreal,10.7,4.3,11.5,12.2,6.66
6. Real Sociedad,11.3,4.1,8.7,12.1,6.65
7. Real Betis,11.7,4.2,11,12.7,6.64
8. Valencia,10.3,3.7,9,13.8,6.60
9. Celta Vigo,9.4,3.7,7.3,12.9,6.60
10. SD Huesca,10.7,3.6,11.2,13.6,6.55
11. Athletic Bilbao,10.6,3.6,8,12.6,6.54
12. Osasuna,9.8,3.2,6.4,10.7,6.54
13. Eibar,11.9,3.6,8.4,10.2,6.53
14. Deportivo Alaves,9.1,2.7,6.7,12.8,6.50
15. Levante,10.1,3.4,9.6,10.4,6.50
16. Getafe,9.5,2.8,6.9,13.7,6.49
17. Elche,7.1,2.4,9.6,12,6.48
18. Granada,9.4,3.3,8.2,12.3,6.47
19. Cadiz,8,2.7,8.4,12.7,6.47
20. Real Valladolid,9.7,3.1,7.7,13.4,6.46
