R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,65,1,10,4,5
2,Atletico Madrid,49,1,10,5,2
3,Real Madrid,45,4,12,3,3
4,Villarreal,39,2,4,12,3
5,Levante,36,1,5,3,1
6,Celta Vigo,35,6,7,7,0
7,Real Sociedad,32,3,14,9,1
8,Sevilla,32,5,9,6,1
9,Granada,31,4,9,3,0
10,Athletic Bilbao,28,4,7,4,3
11,Valencia,28,3,9,8,2
12,Real Betis,26,1,15,8,0
13,Osasuna,24,2,5,5,1
14,Getafe,23,0,1,3,1
15,SD Huesca,22,2,5,3,2
16,Elche,22,0,9,2,1
17,Cadiz,20,4,5,4,3
18,Real Valladolid,19,2,6,7,0
19,Eibar,18,0,7,4,0
20,Deportivo Alaves,16,2,12,5,1
