R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Deportivo Alaves,10%,55%,35%
2,Real Sociedad,10%,53%,37%
3,Real Valladolid,9%,55%,36%
4,Real Betis,9%,60%,31%
5,Atletico Madrid,9%,50%,40%
6,Barcelona,8%,57%,35%
7,Getafe,8%,56%,36%
8,Celta Vigo,8%,56%,36%
9,Cadiz,8%,55%,37%
10,Levante,8%,60%,32%
11,Elche,8%,53%,39%
12,SD Huesca,8%,53%,38%
13,Athletic Bilbao,7%,55%,38%
14,Valencia,7%,55%,38%
15,Osasuna,7%,55%,38%
16,Sevilla,7%,51%,42%
17,Eibar,6%,61%,33%
18,Villarreal,6%,55%,39%
19,Granada,6%,59%,35%
20,Real Madrid,5%,59%,36%
