Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,16,6.5,1.1,8.4,6.93
2. Napoli,18.6,8.3,0.9,9.3,6.91
3. Atalanta,16.9,5.5,1.5,9.8,6.90
4. Roma,16.4,5.7,1,9.7,6.86
5. Torino,13.7,5.8,0.8,7.1,6.83
6. AC Milan,15.4,7.3,0.8,7.3,6.82
7. Inter,16.7,6.3,1.1,9.3,6.82
8. Lazio,16.1,6.4,0.9,8.8,6.80
9. Sampdoria,12.8,5.9,0.6,6.3,6.74
10. Fiorentina,15.4,6.4,0.8,8.2,6.71
11. Udinese,12.2,6.2,0.7,5.4,6.68
12. Bologna,13.2,5.5,1.1,6.6,6.67
13. Sassuolo,13.5,6.6,0.9,5.9,6.66
14. Genoa,14,6.2,0.8,7,6.64
15. SPAL 2013,12.2,4.7,0.7,6.7,6.64
16. Cagliari,11.5,4.4,1,6.1,6.62
17. Empoli,12,4.1,1.1,6.8,6.60
18. Parma Calcio 1913,9.3,3.9,1.1,4.4,6.59
19. Frosinone,12,5.1,0.8,6.1,6.51
20. Chievo,10.3,4.8,0.7,4.8,6.48
