Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,11.7,15,10.4,12.4,2,6.93
2. Napoli,11.4,15.2,9.4,10.8,2.2,6.91
3. Atalanta,10.9,16.8,12,11.7,1.9,6.90
4. Roma,14.3,14.1,11,12.1,1.3,6.86
5. Torino,12.5,16.8,11.8,16.2,2,6.83
6. Inter,11.1,16.2,8.2,12.3,1.7,6.82
7. AC Milan,12.3,16.9,9.8,11.7,1.7,6.82
8. Lazio,12.4,17.3,11.4,13.2,2.6,6.80
9. Sampdoria,13.6,17.1,9.6,13,1.8,6.74
10. Fiorentina,12.3,15.6,10.9,14.8,1.3,6.71
11. Udinese,16.3,17.2,10.1,13.3,1.7,6.68
12. Bologna,14.2,18.1,9.7,13.6,2.2,6.67
13. Sassuolo,12.9,13.9,9.9,13.9,1.9,6.66
14. Genoa,13.6,17.6,11.2,14.7,1.7,6.64
15. SPAL 2013,14.3,15.3,10.2,13.1,1,6.64
16. Cagliari,15.6,15.9,9,15.1,1.5,6.62
17. Empoli,16.6,14.6,8.7,12.1,2,6.60
18. Parma Calcio 1913,19.8,15.2,10.5,13,2.4,6.59
19. Frosinone,16.7,15,10.1,14.7,1.9,6.51
20. Chievo,15.7,16.4,12.4,15.5,2.1,6.48
