R,Team,Left Side,Middle of the pitch,Right Side
1,Lazio,42%,28%,30%
2,Napoli,41%,27%,32%
3,Parma Calcio 1913,41%,22%,37%
4,Torino,38%,24%,37%
5,Inter,38%,26%,36%
6,Juventus,38%,26%,36%
7,Chievo,38%,24%,39%
8,Sassuolo,38%,26%,36%
9,Bologna,37%,28%,35%
10,Udinese,37%,25%,38%
11,Atalanta,37%,24%,38%
12,Genoa,37%,26%,37%
13,Empoli,36%,25%,38%
14,Roma,36%,27%,37%
15,Frosinone,35%,26%,40%
16,Fiorentina,34%,27%,39%
17,Sampdoria,34%,28%,38%
18,SPAL 2013,33%,24%,43%
19,AC Milan,32%,26%,42%
20,Cagliari,31%,28%,41%
