R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,AC Milan,28,6,67,448
2,Inter,19,7,66,402
3,Juventus,29,4,58,363
4,Atalanta,28,3,69,357
5,Genoa,24,5,56,353
6,Bari,17,6,73,352
7,Udinese,25,6,68,351
8,Fiorentina,34,4,59,350
9,Roma,19,6,63,340
10,Napoli,27,5,63,335
11,Palermo FC,22,7,58,332
12,Robur Siena,27,4,63,328
13,Livorno,24,4,62,328
14,Lazio,24,4,63,321
15,Cagliari,20,4,65,314
16,Parma Calcio 1913,28,4,63,311
17,Sampdoria,23,6,66,308
18,Bologna,22,5,67,302
19,Catania,23,4,62,295
20,Chievo,28,6,60,285
