R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Robur Siena,43,4,14,6,0
2,Livorno,40,4,15,2,0
3,Udinese,37,4,12,5,1
4,Cagliari,35,4,12,6,1
5,Bari,34,3,7,4,1
6,Atalanta,34,3,12,3,1
7,Genoa,33,5,13,9,1
8,Bologna,32,7,14,2,0
9,Parma Calcio 1913,32,4,10,3,2
10,Juventus,31,9,12,4,0
11,Catania,29,3,10,3,0
12,AC Milan,27,4,5,2,1
13,Palermo FC,25,5,11,6,0
14,Fiorentina,24,5,14,4,0
15,Sampdoria,24,2,11,4,0
16,Lazio,23,3,12,5,0
17,Napoli,21,5,12,5,0
18,Inter,20,2,5,6,1
19,Roma,19,7,9,5,1
20,Chievo,17,6,12,6,1
