R,Team,Own Third,Middle Third,Opposition Third
1,Bari,33%,45%,23%
2,Cagliari,31%,45%,25%
3,Bologna,30%,45%,26%
4,Palermo FC,30%,42%,28%
5,Livorno,28%,45%,26%
6,Parma Calcio 1913,28%,42%,29%
7,Sampdoria,28%,45%,27%
8,Atalanta,28%,46%,27%
9,Robur Siena,28%,44%,28%
10,Lazio,27%,45%,28%
11,Genoa,27%,44%,29%
12,Chievo,27%,45%,28%
13,Catania,27%,47%,26%
14,Roma,27%,46%,27%
15,Udinese,27%,45%,27%
16,Inter,26%,46%,28%
17,Fiorentina,25%,43%,33%
18,AC Milan,25%,45%,30%
19,Juventus,25%,44%,30%
20,Napoli,25%,46%,30%
