R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Inter,38,16,14,6,1
2,Juventus,37,4,10,3,1
3,Fiorentina,35,2,9,2,0
4,Roma,35,4,20,9,0
5,Palermo FC,35,6,10,8,0
6,Sampdoria,34,1,10,4,0
7,Udinese,33,5,10,6,0
8,Napoli,33,5,10,2,0
9,AC Milan,31,7,14,7,1
10,Cagliari,29,4,16,6,1
11,Parma Calcio 1913,29,3,10,2,2
12,Robur Siena,28,3,7,2,0
13,Bari,27,6,11,4,1
14,Genoa,27,8,13,9,0
15,Lazio,25,0,10,3,1
16,Atalanta,24,2,8,3,0
17,Catania,24,3,10,7,0
18,Chievo,23,1,11,1,1
19,Bologna,17,6,14,3,2
20,Livorno,16,3,5,3,0
