Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Inter,75,16.5,907,54.5,82.9,6.7,7.09
2. Roma,68,16.2,903,50.5,79.7,8.7,7.07
3. AC Milan,60,13.6,718,57.2,84.8,7.9,7.04
4. Napoli,50,14.7,1006,51.6,77.7,8.9,6.96
5. Udinese,54,15,933,51.3,78.5,8.5,6.94
6. Palermo FC,59,14.9,943,49.0,77.2,8.6,6.92
7. Cagliari,56,10.9,827,48.0,74.1,12.3,6.91
8. Genoa,57,11.1,998,51.5,78.3,10,6.91
9. Bari,49,11.1,634,50.2,80.8,7.3,6.89
10. Lazio,39,15.7,1006,49.4,77.6,8,6.88
11. Parma Calcio 1913,46,12.3,917,49.0,72.8,8.6,6.88
12. Sampdoria,49,11.6,848,48.7,75.4,8.4,6.87
13. Juventus,55,15.3,956,53.0,79.4,9.4,6.84
14. Chievo,37,12,1005,45.0,71.8,10.4,6.84
15. Catania,44,11.6,967,46.6,73.7,9.5,6.84
16. Fiorentina,48,16.6,816,50.8,75.7,8.5,6.83
17. Bologna,42,10,723,46.1,75.0,9.1,6.78
18. Atalanta,37,13.9,1107,51.8,77.7,9.5,6.77
19. Robur Siena,40,13.2,1005,48.5,76.0,9.5,6.74
20. Livorno,27,13,888,47.4,77.5,8,6.70
