R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,21,3,48,655
2,Chelsea,18,4,46,616
3,Liverpool,19,3,60,567
4,Tottenham,17,2,60,505
5,Arsenal,16,2,55,499
6,Manchester United,17,2,60,450
7,Fulham,16,1,65,406
8,Leicester,21,3,62,394
9,Everton,22,1,61,377
10,Wolverhampton Wanderers,16,1,68,373
11,Bournemouth,16,2,52,373
12,West Ham,17,2,62,372
13,Huddersfield,20,1,69,353
14,Watford,15,1,65,346
15,Crystal Palace,15,1,60,346
16,Southampton,18,1,63,316
17,Brighton,17,0,70,306
18,Newcastle United,19,1,71,288
19,Burnley,18,1,78,269
20,Cardiff,15,1,67,204
