R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Newcastle United,22,2,61,498
2,Cardiff,18,2,56,481
3,Brighton,19,1,57,477
4,Wolverhampton Wanderers,17,1,60,453
5,Crystal Palace,22,1,62,446
6,Burnley,21,1,69,445
7,Southampton,19,2,66,441
8,Huddersfield,14,2,61,431
9,Bournemouth,20,2,65,430
10,Fulham,21,2,66,427
11,West Ham,19,2,55,417
12,Watford,20,3,63,410
13,Leicester,18,1,60,386
14,Manchester United,17,1,58,365
15,Everton,15,2,66,357
16,Arsenal,17,2,59,332
17,Liverpool,13,1,64,319
18,Chelsea,14,1,65,317
19,Tottenham,18,2,68,313
20,Manchester City,10,1,60,270
