R,Team,Left Side,Attempts from the middle,Right Side
1,Everton,22%,64%,14%
2,Newcastle United,21%,67%,12%
3,Leicester,20%,68%,12%
4,Crystal Palace,20%,66%,14%
5,Manchester United,20%,66%,13%
6,Liverpool,19%,66%,15%
7,Watford,19%,65%,17%
8,Huddersfield,19%,66%,14%
9,Wolverhampton Wanderers,19%,64%,17%
10,Brighton,19%,67%,14%
11,Manchester City,19%,67%,14%
12,Arsenal,18%,64%,18%
13,Southampton,18%,71%,11%
14,Chelsea,18%,68%,14%
15,West Ham,18%,67%,16%
16,Tottenham,18%,64%,19%
17,Burnley,18%,65%,17%
18,Fulham,17%,68%,15%
19,Cardiff,17%,68%,15%
20,Bournemouth,17%,68%,14%
