Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Manchester City,95,18,441,64.0,89.0,14.3,7.09
2. Liverpool,89,15.1,372,58.8,84.4,16,7.01
3. Chelsea,63,16,490,59.9,87.6,14,6.89
4. Tottenham,67,14.1,563,56.7,83.2,16.1,6.86
5. Arsenal,73,12.3,722,56.1,83.3,14.9,6.79
6. Leicester,51,13.6,575,50.8,79.2,21.5,6.78
7. Crystal Palace,51,13,582,46.6,76.8,18.1,6.78
8. West Ham,52,11.6,591,49.0,78.7,16.9,6.77
9. Everton,54,13.1,554,51.0,77.3,23.5,6.77
10. Wolverhampton Wanderers,47,12.6,721,47.4,78.2,21.6,6.75
11. Newcastle United,42,11.7,572,42.9,72.9,21.2,6.74
12. Manchester United,65,13.8,734,53.3,82.3,18.3,6.74
13. Burnley,45,9.5,751,43.4,70.3,27.6,6.70
14. Southampton,45,12.7,713,45.4,74.0,20.4,6.68
15. Watford,52,11.5,774,47.4,76.1,20.3,6.68
16. Bournemouth,56,11.7,601,47.7,78.1,18.8,6.68
17. Cardiff,34,11,661,39.1,63.9,25.8,6.62
18. Brighton,35,9.8,604,44.1,74.8,22,6.61
19. Fulham,34,11.9,682,49.2,80.3,19.7,6.56
20. Huddersfield,22,10.6,554,47.1,75.8,22.6,6.47
