R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Burnley,16%,54%,30%
2,Arsenal,10%,57%,33%
3,Cardiff,10%,50%,40%
4,West Ham,9%,54%,37%
5,Liverpool,9%,56%,34%
6,Tottenham,9%,52%,39%
7,Brighton,9%,53%,39%
8,Manchester City,9%,57%,35%
9,Wolverhampton Wanderers,8%,54%,38%
10,Manchester United,8%,51%,41%
11,Leicester,7%,51%,42%
12,Southampton,7%,49%,43%
13,Everton,7%,61%,33%
14,Bournemouth,7%,58%,34%
15,Chelsea,6%,57%,38%
16,Watford,6%,58%,35%
17,Newcastle United,6%,54%,40%
18,Crystal Palace,6%,57%,37%
19,Fulham,6%,48%,46%
20,Huddersfield,4%,53%,42%
