R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Newcastle United,10%,60%,30%
2,Watford,10%,55%,35%
3,West Ham,10%,54%,36%
4,Bournemouth,10%,49%,40%
5,Everton,9%,54%,37%
6,Brighton,9%,52%,39%
7,Southampton,8%,55%,37%
8,Liverpool,8%,54%,37%
9,Huddersfield,8%,59%,34%
10,Wolverhampton Wanderers,8%,46%,46%
11,Manchester United,8%,49%,43%
12,Burnley,8%,52%,41%
13,Manchester City,8%,53%,38%
14,Fulham,8%,60%,32%
15,Arsenal,7%,52%,41%
16,Leicester,7%,54%,39%
17,Chelsea,7%,55%,38%
18,Tottenham,6%,58%,36%
19,Cardiff,6%,58%,36%
20,Crystal Palace,5%,54%,41%
