R,Team,Left Side,Attempts from the middle,Right Side
1,Crystal Palace,25%,62%,13%
2,Chelsea,24%,60%,16%
3,Manchester United,22%,67%,11%
4,Cardiff,22%,66%,12%
5,West Ham,21%,65%,14%
6,Southampton,20%,66%,14%
7,Tottenham,20%,63%,17%
8,Watford,19%,69%,11%
9,Newcastle United,19%,68%,14%
10,Bournemouth,19%,69%,12%
11,Manchester City,18%,66%,16%
12,Arsenal,17%,69%,14%
13,Everton,17%,66%,17%
14,Brighton,17%,69%,14%
15,Huddersfield,17%,66%,16%
16,Fulham,17%,67%,15%
17,Leicester,16%,67%,17%
18,Wolverhampton Wanderers,16%,64%,20%
19,Liverpool,14%,69%,17%
20,Burnley,13%,77%,10%
