R,Team,Left Side,Attempts from the middle,Right Side
1,Stoke,22%,61%,17%
2,Chelsea,21%,59%,20%
3,Liverpool,21%,66%,13%
4,West Ham,20%,63%,17%
5,Everton,20%,60%,19%
6,Queens Park Rangers,20%,64%,17%
7,Tottenham,19%,65%,16%
8,Southampton,18%,65%,17%
9,Manchester United,18%,65%,17%
10,Swansea,18%,65%,17%
11,Wigan,18%,65%,17%
12,Aston Villa,17%,63%,20%
13,Reading,17%,70%,13%
14,Manchester City,17%,67%,16%
15,Fulham,17%,67%,16%
16,West Bromwich Albion,17%,65%,17%
17,Norwich,17%,65%,18%
18,Newcastle United,16%,67%,16%
19,Sunderland,16%,68%,16%
20,Arsenal,15%,66%,19%
