R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester United,51,3,22,4,6
2,Liverpool,50,1,11,5,4
3,Tottenham,46,6,10,0,4
4,Arsenal,45,7,12,5,3
5,Chelsea,45,3,15,9,3
6,Manchester City,40,6,14,4,2
7,Swansea,40,2,5,0,0
8,Everton,37,3,11,2,2
9,Southampton,32,2,8,3,4
10,Newcastle United,31,2,6,4,2
11,West Bromwich Albion,31,5,9,5,3
12,Fulham,29,2,8,6,5
13,Wigan,29,2,13,1,2
14,Aston Villa,28,6,10,3,0
15,West Ham,25,2,12,4,2
16,Reading,22,2,13,4,2
17,Norwich,22,0,17,1,1
18,Sunderland,21,3,11,4,2
19,Queens Park Rangers,20,4,5,1,0
20,Stoke,14,1,15,3,1
