R,Team,Own Third,Middle Third,Opposition Third
1,Queens Park Rangers,32%,45%,25%
2,Sunderland,30%,45%,26%
3,Aston Villa,30%,45%,25%
4,Fulham,30%,46%,24%
5,Newcastle United,29%,45%,26%
6,Reading,29%,43%,28%
7,Swansea,29%,48%,23%
8,Norwich,29%,44%,27%
9,Stoke,28%,43%,28%
10,West Bromwich Albion,28%,44%,28%
11,Wigan,28%,47%,26%
12,Southampton,27%,44%,29%
13,West Ham,27%,42%,30%
14,Liverpool,27%,44%,30%
15,Manchester United,27%,45%,28%
16,Chelsea,26%,43%,31%
17,Everton,26%,42%,32%
18,Tottenham,26%,46%,28%
19,Arsenal,24%,45%,31%
20,Manchester City,24%,44%,31%
