R,Team,Left Side,Attempts from the middle,Right Side
1,Brest,28%,52%,20%
2,Lorient,26%,55%,20%
3,Marseille,26%,59%,15%
4,Thonon Evian Grand Geneve,23%,53%,24%
5,Saint-Etienne,22%,62%,16%
6,SC Bastia,22%,60%,18%
7,Sochaux,20%,60%,20%
8,Bordeaux,20%,63%,17%
9,Valenciennes,20%,63%,17%
10,Nancy,19%,65%,16%
11,Montpellier,19%,61%,19%
12,Reims,19%,66%,16%
13,Rennes,18%,61%,21%
14,Troyes,18%,64%,18%
15,Toulouse,17%,61%,22%
16,Paris Saint-Germain,17%,65%,18%
17,AC Ajaccio,17%,63%,20%
18,Lille,17%,63%,19%
19,Nice,16%,64%,20%
20,Lyon,15%,67%,18%
