Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,69,13.5,7110,54.6,85.4,13.3,7.07
2. Saint-Etienne,57,12.5,564,52.6,80.1,15.3,6.92
3. Marseille,42,13.7,507,51.6,80.9,13.8,6.89
4. Lyon,61,12.4,646,55.0,81.1,12.5,6.88
5. Lorient,56,12.7,527,49.5,78.6,12.9,6.86
6. Montpellier,54,12.8,666,52.6,79.6,13.3,6.86
7. Toulouse,49,11.8,637,52.9,79.8,15.5,6.85
8. Bordeaux,40,13,663,50.5,77.7,17.3,6.85
9. Sochaux,41,10.1,603,46.9,76.0,14.7,6.83
10. Nancy,38,12.5,645,48.1,76.7,15.3,6.82
11. Lille,58,14.1,593,55.8,83.0,16.5,6.82
12. Rennes,48,12.1,4510,49.4,77.6,17.2,6.79
13. Nice,57,10.7,665,51.9,78.5,12.9,6.76
14. Valenciennes,46,11.6,583,49.1,74.4,16,6.76
15. Troyes,43,10.1,535,46.6,75.8,12.3,6.73
16. Reims,33,10.1,646,48.3,74.7,14.6,6.72
17. AC Ajaccio,39,10.7,737,47.4,76.1,13.1,6.70
18. Thonon Evian Grand Geneve,44,11.5,763,45.8,74.2,13.4,6.69
19. Brest,32,10.9,684,46.5,76.8,11.8,6.68
20. SC Bastia,50,10.9,827,44.6,73.0,13,6.67
