R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,SC Bastia,20,3,58,400
2,Sochaux,24,2,62,388
3,Troyes,30,2,65,386
4,Brest,24,3,61,384
5,Thonon Evian Grand Geneve,24,2,61,383
6,AC Ajaccio,24,2,62,381
7,Nancy,23,2,63,379
8,Lorient,22,2,70,375
9,Reims,23,2,58,358
10,Paris Saint-Germain,22,1,58,348
11,Bordeaux,20,3,62,348
12,Marseille,20,2,60,338
13,Rennes,20,2,63,334
14,Valenciennes,22,2,59,333
15,Nice,17,2,60,331
16,Saint-Etienne,21,1,59,329
17,Montpellier,18,2,57,325
18,Lille,15,2,56,315
19,Lyon,19,2,57,300
20,Toulouse,20,2,61,296
