Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,13.5,5.2,6.5,11.7,7.07
2. Saint-Etienne,12.5,4.9,5.1,11.4,6.92
3. Marseille,13.7,4.7,7.8,13.7,6.89
4. Lyon,12.4,4.4,6.7,14.2,6.88
5. Lorient,12.7,4.9,7,12.9,6.86
6. Montpellier,12.8,4.4,7.3,15.7,6.86
7. Toulouse,11.8,4.1,7.4,15.1,6.85
8. Bordeaux,13,4.7,4.8,13.8,6.85
9. Sochaux,10.1,3.5,6,13.4,6.83
10. Nancy,12.5,4.6,8.5,12.4,6.82
11. Lille,14.1,4.9,5.7,14.3,6.82
12. Rennes,12.1,4.5,5.9,14.1,6.79
13. Nice,10.7,3.9,5.2,13.2,6.76
14. Valenciennes,11.6,3.9,4.9,13.4,6.76
15. Troyes,10.1,3.8,5.3,12.2,6.73
16. Reims,10.1,3.1,4.4,11.7,6.72
17. AC Ajaccio,10.7,3.8,5.9,12.9,6.70
18. Thonon Evian Grand Geneve,11.5,3.8,4.3,12.3,6.69
19. Brest,10.9,3.3,5.8,11,6.68
20. SC Bastia,10.9,3.6,6.6,14.1,6.67
