R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Real Zaragoza,9%,58%,33%
2,Celta Vigo,9%,52%,40%
3,Granada,9%,49%,43%
4,Mallorca,7%,47%,46%
5,Real Madrid,7%,44%,49%
6,Athletic Bilbao,7%,47%,46%
7,Real Betis,7%,52%,40%
8,Sevilla,7%,45%,49%
9,Deportivo La Coruna,7%,53%,40%
10,Malaga,7%,48%,45%
11,Osasuna,7%,57%,36%
12,Real Valladolid,6%,47%,47%
13,Real Sociedad,6%,42%,52%
14,Barcelona,6%,55%,38%
15,Getafe,6%,51%,43%
16,Rayo Vallecano,5%,55%,40%
17,Espanyol,5%,51%,44%
18,Levante,5%,40%,55%
19,Valencia,4%,50%,46%
20,Atletico Madrid,4%,42%,54%
