R,Team,Own Third,Middle Third,Opposition Third
1,Real Valladolid,31%,45%,23%
2,Athletic Bilbao,30%,45%,25%
3,Levante,30%,44%,25%
4,Real Betis,29%,46%,25%
5,Rayo Vallecano,29%,43%,28%
6,Granada,29%,44%,28%
7,Mallorca,28%,44%,28%
8,Celta Vigo,28%,47%,25%
9,Deportivo La Coruna,28%,45%,27%
10,Real Sociedad,28%,44%,28%
11,Getafe,28%,46%,26%
12,Valencia,27%,43%,29%
13,Sevilla,27%,45%,28%
14,Espanyol,27%,45%,27%
15,Malaga,26%,45%,28%
16,Osasuna,26%,45%,29%
17,Real Madrid,25%,45%,30%
18,Real Zaragoza,25%,46%,29%
19,Atletico Madrid,24%,45%,30%
20,Barcelona,21%,49%,30%
