R,Team,Left Side,Attempts from the middle,Right Side
1,Real Sociedad,24%,61%,15%
2,Atletico Madrid,24%,59%,17%
3,Real Madrid,23%,57%,21%
4,Real Betis,22%,61%,17%
5,Real Zaragoza,22%,63%,16%
6,Sevilla,22%,60%,18%
7,Rayo Vallecano,21%,60%,19%
8,Espanyol,21%,61%,18%
9,Granada,21%,60%,19%
10,Real Valladolid,20%,60%,20%
11,Celta Vigo,20%,64%,16%
12,Barcelona,20%,61%,19%
13,Mallorca,19%,63%,18%
14,Valencia,19%,61%,21%
15,Osasuna,19%,60%,21%
16,Levante,18%,60%,22%
17,Getafe,18%,65%,18%
18,Athletic Bilbao,17%,63%,20%
19,Deportivo La Coruna,17%,64%,18%
20,Malaga,17%,64%,18%
