R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Atletico Madrid,9%,54%,37%
2,Espanyol,9%,49%,42%
3,Real Sociedad,8%,51%,41%
4,Granada,8%,50%,42%
5,Real Madrid,7%,52%,41%
6,Real Valladolid,7%,46%,47%
7,Valencia,7%,47%,46%
8,Malaga,7%,51%,43%
9,Sevilla,7%,56%,36%
10,Levante,7%,45%,49%
11,Real Betis,6%,50%,45%
12,Celta Vigo,6%,47%,47%
13,Rayo Vallecano,6%,42%,52%
14,Osasuna,6%,45%,49%
15,Mallorca,5%,51%,43%
16,Athletic Bilbao,5%,56%,39%
17,Real Zaragoza,5%,40%,55%
18,Deportivo La Coruna,5%,45%,50%
19,Barcelona,5%,57%,37%
20,Getafe,4%,44%,51%
