Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,13.9,6.3,12.5,13,7.20
2. Real Madrid,18.7,7.9,8.6,14.1,7.09
3. Atletico Madrid,13.4,4.9,8.3,13.3,6.96
4. Valencia,14.9,5.1,7.1,13.2,6.88
5. Real Sociedad,14.7,5.5,6.8,14.9,6.88
6. Malaga,11.6,4.4,6.7,14.4,6.84
7. Athletic Bilbao,12.6,4.1,8.1,13.7,6.83
8. Real Betis,11.9,4.1,6.1,13.5,6.81
9. Sevilla,14.5,5.2,8.1,13.2,6.81
10. Osasuna,13.3,4.3,5.2,13,6.81
11. Real Valladolid,10.2,4,4.3,10.3,6.79
12. Espanyol,10.8,3.7,5.3,15.4,6.77
13. Getafe,12.4,4.3,5.6,13.2,6.77
14. Rayo Vallecano,14.9,4.8,8.5,14.4,6.75
15. Granada,12.3,3.9,8,12.1,6.74
16. Celta Vigo,12.1,3.8,5.9,12.4,6.73
17. Levante,10.5,3.5,6.4,12.1,6.72
18. Deportivo La Coruna,13.8,4.7,6.7,14,6.71
19. Mallorca,12.8,4.4,5.4,11.9,6.67
20. Real Zaragoza,12.1,3.8,5.9,14.7,6.65
