Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,113,13.9,563,64.9,89.3,9.5,7.20
2. Real Madrid,101,18.7,876,54.1,81.2,15.4,7.09
3. Atletico Madrid,66,13.4,965,48.2,76.9,18.1,6.96
4. Valencia,65,14.9,1218,52.5,80.0,14.8,6.88
5. Real Sociedad,68,14.7,942,51.1,77.8,16.9,6.88
6. Malaga,53,11.6,906,51.4,79.7,15.4,6.84
7. Athletic Bilbao,45,12.6,1139,54.5,78.8,15.8,6.83
8. Real Betis,57,11.9,1137,48.1,74.3,15.2,6.81
9. Sevilla,58,14.5,9514,52.5,79.3,16.3,6.81
10. Osasuna,33,13.3,11010,49.0,68.2,25.3,6.81
11. Real Valladolid,52,10.2,773,49.9,77.3,16.7,6.79
12. Espanyol,45,10.8,14312,46.0,70.8,17.7,6.77
13. Getafe,44,12.4,1119,47.1,73.1,17,6.77
14. Rayo Vallecano,50,14.9,1364,55.6,77.8,14.2,6.75
15. Granada,36,12.3,995,45.6,71.9,16.4,6.74
16. Celta Vigo,37,12.1,974,49.0,76.2,14.5,6.73
17. Levante,39,10.5,1087,40.3,67.4,14.4,6.72
18. Deportivo La Coruna,46,13.8,968,49.1,78.4,13.4,6.71
19. Mallorca,43,12.8,987,44.1,71.8,19.8,6.67
20. Real Zaragoza,37,12.1,12010,46.9,72.7,16.7,6.65
