R,Team,Fouls,Unprofessional,Dive,Other
1,Athletic Bilbao,96,6,1,25
2,Espanyol,95,9,4,55
3,Rayo Vallecano,91,3,0,46
4,Real Zaragoza,91,0,1,44
5,Osasuna,89,5,0,31
6,Getafe,88,5,0,30
7,Real Betis,82,5,3,33
8,Levante,81,2,1,36
9,Deportivo La Coruna,80,2,2,26
10,Valencia,79,11,2,40
11,Real Sociedad,77,0,0,21
12,Mallorca,73,3,1,32
13,Atletico Madrid,67,7,1,31
14,Sevilla,67,6,1,41
15,Celta Vigo,66,4,1,34
16,Malaga,64,2,4,29
17,Real Valladolid,63,0,1,19
18,Granada,63,6,3,35
19,Real Madrid,58,6,1,33
20,Barcelona,40,3,0,18
