Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,9.1,19.4,14.9,10.6,3.3,7.20
2. Real Madrid,11.7,19.2,14.1,12.4,4.2,7.09
3. Atletico Madrid,10.1,22.9,16.2,15.6,2.9,6.96
4. Valencia,11.9,22.6,16.1,15.2,2.4,6.88
5. Real Sociedad,13.4,21.2,15.5,11.8,2.8,6.88
6. Malaga,12.9,22.6,17.8,13.1,2.3,6.84
7. Athletic Bilbao,15.7,24.4,17.5,14.1,2.9,6.83
8. Real Betis,13.8,20,18,14.6,2.2,6.81
9. Sevilla,12.4,22.1,14.3,14.4,2.4,6.81
10. Osasuna,11.8,22.7,18.1,14.8,3,6.81
11. Real Valladolid,15.8,21.4,15.8,13.3,2.1,6.79
12. Espanyol,13.6,24.7,17.1,17.2,2.1,6.77
13. Getafe,13.4,21.3,17.5,14.4,2.7,6.77
14. Rayo Vallecano,13.4,21.9,15.6,15.6,2.4,6.75
15. Granada,14.1,21.4,16,15.1,2.8,6.74
16. Celta Vigo,13.1,21.4,19,13.4,2.2,6.73
17. Levante,15.6,22.7,18.1,15.5,2.3,6.72
18. Deportivo La Coruna,14.1,20.8,15.2,11.4,3,6.71
19. Mallorca,14.3,20.1,15.9,15.7,2.2,6.67
20. Real Zaragoza,11.5,20.5,16,16.2,2.4,6.65
