Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,13.9,5.1,0.7,8.1,7.20
2. Real Madrid,18.7,7.5,1.3,9.9,7.09
3. Atletico Madrid,13.4,4.8,1.2,7.4,6.96
4. Real Sociedad,14.7,5.9,1.1,7.6,6.88
5. Valencia,14.9,6.7,1.1,7.2,6.88
6. Malaga,11.6,4.9,0.8,5.9,6.84
7. Athletic Bilbao,12.6,4.8,0.6,7.2,6.83
8. Real Betis,11.9,5.1,0.7,6.2,6.81
9. Osasuna,13.3,6.4,0.8,6.1,6.81
10. Sevilla,14.5,5.2,1.1,8.3,6.81
11. Real Valladolid,10.2,4.7,0.7,4.9,6.79
12. Espanyol,10.8,4.4,0.9,5.6,6.77
13. Getafe,12.4,6.3,0.6,5.6,6.77
14. Rayo Vallecano,14.9,7.4,0.8,6.7,6.75
15. Granada,12.3,5.1,1,6.2,6.74
16. Celta Vigo,12.1,5.7,0.7,5.7,6.73
17. Levante,10.5,4.9,0.7,4.9,6.72
18. Deportivo La Coruna,13.8,6.8,0.7,6.3,6.71
19. Mallorca,12.8,5.5,0.7,6.6,6.67
20. Real Zaragoza,12.1,6.6,0.6,4.9,6.65
