R,Team,Left Side,Attempts from the middle,Right Side
1,Lazio,22%,69%,9%
2,Sassuolo,22%,64%,14%
3,Juventus,20%,65%,15%
4,Inter,19%,65%,16%
5,Cagliari,19%,65%,15%
6,Napoli,19%,68%,13%
7,Parma Calcio 1913,19%,66%,15%
8,Bologna,18%,67%,15%
9,Sampdoria,18%,66%,15%
10,Spezia,18%,69%,13%
11,Fiorentina,17%,67%,16%
12,Roma,17%,70%,13%
13,Benevento,17%,69%,14%
14,Crotone,17%,69%,14%
15,Torino,16%,67%,17%
16,AC Milan,16%,67%,17%
17,Genoa,16%,70%,14%
18,Verona,15%,68%,17%
19,Atalanta,15%,68%,17%
20,Udinese,14%,70%,15%
