Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,15.7,4.7,1.2,9.8,6.85
2. Atalanta,16.3,4.7,1,10.6,6.84
3. AC Milan,14.7,5.8,1.2,7.7,6.82
4. Napoli,17,6.7,1,9.2,6.81
5. Inter,14.5,4.6,1.2,8.8,6.81
6. Roma,14.3,5,1.2,8.2,6.71
7. Sassuolo,13.9,5.9,0.7,7.3,6.67
8. Sampdoria,11.3,4,0.9,6.3,6.63
9. Lazio,13.8,4.4,1,8.3,6.62
10. Torino,12.2,4.3,1,6.9,6.59
11. Verona,10.6,3.4,1.2,6,6.59
12. Cagliari,11.4,4.2,1.1,6.1,6.58
13. Bologna,13.1,5.8,1.1,6.3,6.56
14. Udinese,10.9,4.4,0.6,5.8,6.55
15. Genoa,9,3,0.4,5.6,6.54
16. Fiorentina,9.8,3.3,0.8,5.7,6.52
17. Spezia,10.2,3.2,1,6,6.50
18. Parma Calcio 1913,10.4,4.1,0.8,5.6,6.49
19. Crotone,9.5,3.9,0.7,4.9,6.43
20. Benevento,11,3.5,0.8,6.7,6.43
