R,Team,Left Side,Middle of the pitch,Right Side
1,Verona,43%,26%,32%
2,Fiorentina,40%,26%,35%
3,Lazio,40%,29%,31%
4,Napoli,39%,24%,38%
5,Genoa,39%,25%,36%
6,Bologna,38%,26%,37%
7,Atalanta,38%,27%,35%
8,Benevento,38%,27%,35%
9,Sassuolo,38%,30%,32%
10,Torino,37%,27%,36%
11,Juventus,37%,29%,35%
12,Udinese,37%,26%,37%
13,Roma,37%,31%,32%
14,Sampdoria,37%,25%,38%
15,Parma Calcio 1913,37%,27%,35%
16,AC Milan,36%,30%,34%
17,Spezia,35%,27%,38%
18,Cagliari,34%,27%,39%
19,Crotone,34%,28%,37%
20,Inter,32%,28%,39%
