R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Sassuolo,16,1,44,547
2,Juventus,20,1,47,523
3,Napoli,18,1,50,497
4,Atalanta,17,1,53,491
5,Inter,19,1,45,488
6,Roma,18,2,54,452
7,Lazio,20,1,58,451
8,AC Milan,18,1,51,425
9,Spezia,16,0,77,402
10,Bologna,18,1,50,401
11,Parma Calcio 1913,17,0,66,384
12,Genoa,15,0,63,375
13,Udinese,19,1,48,373
14,Crotone,14,0,56,367
15,Verona,19,0,65,365
16,Sampdoria,21,0,62,362
17,Fiorentina,20,0,57,355
18,Torino,20,1,60,354
19,Cagliari,19,0,53,352
20,Benevento,17,0,57,311
