R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,13,2,40,678
2,Real Madrid,21,1,58,535
3,Sevilla,19,1,67,494
4,Villarreal,15,1,54,466
5,Atletico Madrid,16,1,58,450
6,Real Betis,16,0,60,422
7,Celta Vigo,14,1,61,413
8,Real Sociedad,19,1,54,404
9,Levante,19,1,62,375
10,Athletic Bilbao,22,0,64,360
11,SD Huesca,22,0,63,354
12,Elche,18,0,62,350
13,Valencia,16,1,65,335
14,Eibar,28,0,84,306
15,Real Valladolid,20,1,69,295
16,Osasuna,19,0,73,282
17,Deportivo Alaves,17,0,65,276
18,Granada,16,0,67,244
19,Getafe,22,0,74,244
20,Cadiz,19,0,67,212
