R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Cadiz,22,1,58,507
2,Elche,18,1,53,415
3,Osasuna,21,1,72,414
4,Deportivo Alaves,19,1,67,407
5,Atletico Madrid,19,0,62,402
6,SD Huesca,18,1,66,401
7,Granada,20,1,64,399
8,Valencia,23,1,60,396
9,Real Valladolid,20,1,65,387
10,Getafe,15,1,75,380
11,Athletic Bilbao,20,1,67,374
12,Villarreal,21,0,58,360
13,Real Betis,17,1,60,354
14,Real Madrid,17,1,56,348
15,Levante,18,1,62,345
16,Eibar,15,1,82,340
17,Celta Vigo,20,1,64,337
18,Barcelona,14,1,51,316
19,Real Sociedad,14,0,66,315
20,Sevilla,18,0,57,297
