R,Team,Left Side,Attempts from the middle,Right Side
1,Bologna,23%,57%,20%
2,Lecce,23%,65%,13%
3,Napoli,22%,63%,15%
4,Sassuolo,22%,58%,20%
5,Lazio,21%,66%,13%
6,Roma,21%,65%,15%
7,Parma Calcio 1913,21%,59%,20%
8,Fiorentina,20%,63%,18%
9,Verona,20%,61%,19%
10,SPAL 2013,19%,66%,15%
11,Torino,18%,65%,17%
12,AC Milan,18%,65%,17%
13,Genoa,18%,65%,16%
14,Juventus,17%,63%,20%
15,Cagliari,17%,62%,22%
16,Atalanta,17%,66%,17%
17,Udinese,16%,68%,15%
18,Sampdoria,16%,69%,16%
19,Brescia,15%,70%,15%
20,Inter,14%,70%,16%
