R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Brescia,24,1,55,472
2,Udinese,19,1,54,466
3,Lecce,23,1,52,466
4,Sampdoria,22,1,59,464
5,Parma Calcio 1913,24,1,49,446
6,Cagliari,23,1,55,433
7,Lazio,16,1,51,422
8,SPAL 2013,21,1,56,412
9,Fiorentina,19,1,51,411
10,Genoa,20,1,50,403
11,Torino,21,1,54,380
12,Inter,19,1,55,379
13,Roma,16,1,53,372
14,Verona,19,1,58,371
15,Napoli,14,1,49,365
16,AC Milan,17,1,55,356
17,Juventus,16,1,56,355
18,Bologna,18,1,56,346
19,Sassuolo,19,1,47,340
20,Atalanta,12,1,60,337
