R,Team,Left Side,Attempts from the middle,Right Side
1,Fiorentina,22%,61%,17%
2,Atalanta,22%,62%,16%
3,Bologna,21%,62%,17%
4,Inter,21%,66%,14%
5,Cagliari,21%,63%,17%
6,Roma,21%,63%,16%
7,Sampdoria,21%,62%,16%
8,Lazio,20%,64%,16%
9,Juventus,20%,61%,20%
10,Napoli,20%,65%,15%
11,Parma Calcio 1913,20%,61%,19%
12,Sassuolo,19%,66%,15%
13,Verona,18%,67%,14%
14,AC Milan,18%,66%,16%
15,Torino,17%,65%,18%
16,Brescia,17%,65%,18%
17,Genoa,17%,64%,18%
18,SPAL 2013,16%,64%,20%
19,Lecce,15%,69%,16%
20,Udinese,15%,67%,18%
