R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,SPAL 2013,55,3,9,7,3
2,Lecce,52,7,12,11,3
3,Brescia,49,3,15,9,3
4,Genoa,47,3,14,7,2
5,Bologna,42,4,12,6,1
6,Cagliari,38,1,7,7,3
7,Sampdoria,36,5,12,8,4
8,Parma Calcio 1913,34,3,13,7,0
9,Torino,33,7,15,10,3
10,Sassuolo,32,6,13,8,4
11,Napoli,32,5,5,7,1
12,Udinese,31,3,9,8,0
13,AC Milan,30,1,9,5,1
14,Verona,29,2,10,9,1
15,Fiorentina,28,4,7,9,0
16,Roma,28,5,9,9,0
17,Atalanta,27,3,9,6,3
18,Juventus,25,3,6,9,0
19,Lazio,24,1,9,7,1
20,Inter,23,3,6,3,1
