Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Atalanta,18.7,7.1,9.1,13.6,6.93
2. Juventus,17.9,6.4,11.4,12.8,6.88
3. Inter,16.3,6.1,8.2,11.8,6.85
4. Lazio,15.3,5.9,9.5,10.5,6.84
5. Roma,16.9,5.7,11,11.4,6.80
6. AC Milan,16.3,5.2,10.6,12.1,6.79
7. Sassuolo,14.6,5.2,12.3,14.7,6.74
8. Napoli,18.1,6.1,9.5,13.8,6.73
9. Torino,11.7,4,11.8,14.2,6.70
10. Fiorentina,14.4,4.8,11.3,13.2,6.67
11. Parma Calcio 1913,12.2,4.1,8.6,12.3,6.67
12. Verona,11.7,4.1,8.6,12.9,6.66
13. Udinese,12.3,3.8,9.2,10.9,6.64
14. Cagliari,11.7,3.7,8.5,11.8,6.62
15. Bologna,14.6,4.4,9.2,14.9,6.61
16. Sampdoria,14.8,4.6,8.1,12.1,6.60
17. Lecce,13.9,4.8,7.8,12.9,6.55
18. Genoa,11.4,4.1,8.8,13.5,6.54
19. Brescia,11,3.8,7.2,15.3,6.48
20. SPAL 2013,12.3,3.3,9.4,13.8,6.48
