R,Team,Fouls,Unprofessional,Dive,Other
1,Sampdoria,92,4,0,17
2,Roma,88,2,0,24
3,Genoa,87,3,0,22
4,Bologna,86,9,0,18
5,Cagliari,86,4,0,22
6,SPAL 2013,84,2,0,14
7,Sassuolo,83,0,0,18
8,Fiorentina,82,2,0,24
9,Inter,82,4,0,22
10,AC Milan,76,5,0,20
11,Lecce,75,2,0,23
12,Lazio,74,6,0,21
13,Torino,73,3,0,23
14,Atalanta,71,2,0,8
15,Verona,70,4,0,18
16,Brescia,70,5,0,23
17,Juventus,70,1,0,17
18,Parma Calcio 1913,64,2,0,16
19,Udinese,61,4,0,13
20,Napoli,53,4,0,19
