R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,66,5,20,6,5
2,Arsenal,54,3,8,3,0
3,Liverpool,51,9,26,10,5
4,Manchester United,46,1,11,5,1
5,Chelsea,44,5,15,5,2
6,Everton,40,3,12,3,3
7,Southampton,35,2,12,3,2
8,Swansea,33,0,10,4,7
9,West Bromwich Albion,32,1,6,2,2
10,Tottenham,30,4,11,5,5
11,Stoke,29,3,7,4,2
12,Newcastle United,28,3,8,2,2
13,Aston Villa,24,4,8,2,1
14,West Ham,23,2,10,2,3
15,Norwich,22,1,4,1,0
16,Fulham,21,1,14,2,2
17,Hull,21,2,10,2,3
18,Sunderland,18,4,13,6,0
19,Crystal Palace,17,2,8,5,1
20,Cardiff,16,0,13,1,2
