R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Manchester United,10%,55%,35%
2,West Ham,8%,52%,39%
3,Cardiff,8%,46%,46%
4,Crystal Palace,8%,47%,44%
5,Manchester City,8%,59%,34%
6,Arsenal,7%,56%,37%
7,Chelsea,7%,47%,46%
8,Stoke,7%,45%,47%
9,Everton,7%,50%,43%
10,Fulham,7%,45%,48%
11,Hull,7%,47%,46%
12,Norwich,7%,44%,49%
13,Sunderland,6%,42%,52%
14,Southampton,6%,50%,44%
15,Liverpool,6%,51%,43%
16,Newcastle United,6%,41%,54%
17,West Bromwich Albion,6%,50%,44%
18,Tottenham,5%,44%,51%
19,Swansea,5%,46%,49%
20,Aston Villa,3%,45%,52%
