Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Liverpool,17.1,7.4,1.1,8.7,7.18
2. Manchester City,17.7,5.9,1.3,10.4,7.13
3. Chelsea,18.2,8.3,1.3,8.6,7.07
4. Arsenal,13.8,5.1,0.9,7.8,7.05
5. Everton,14.8,6.3,1,7.4,7.01
6. Manchester United,13.8,4.9,1.3,7.6,6.95
7. Southampton,14.1,6.2,0.9,7,6.91
8. Crystal Palace,10.9,4.8,0.9,5.2,6.85
9. Tottenham,15.4,7.8,0.8,6.8,6.84
10. Stoke,11.3,5.3,0.8,5.1,6.83
11. Newcastle United,15.2,8.2,0.9,6.2,6.82
12. Swansea,13,6.4,0.7,6,6.81
13. West Ham,11.1,4.4,0.9,5.8,6.79
14. West Bromwich Albion,12.8,5.6,0.8,6.4,6.75
15. Hull,11.3,5.2,0.8,5.3,6.72
16. Aston Villa,11.3,5.9,0.3,5.1,6.71
17. Sunderland,12.9,6.8,0.8,5.4,6.68
18. Fulham,11.3,5.4,0.8,5.1,6.66
19. Norwich,12.3,6,0.9,5.4,6.66
20. Cardiff,11,5.1,0.8,5.1,6.64
