R,Team,Left Side,Attempts from the middle,Right Side
1,Sunderland,22%,59%,19%
2,Chelsea,21%,63%,16%
3,Everton,21%,59%,20%
4,Crystal Palace,21%,58%,21%
5,Hull,21%,66%,13%
6,Newcastle United,20%,63%,17%
7,Stoke,19%,66%,16%
8,Southampton,18%,69%,13%
9,Liverpool,18%,63%,19%
10,Arsenal,17%,67%,16%
11,Manchester United,17%,64%,19%
12,West Ham,17%,66%,17%
13,Tottenham,17%,62%,21%
14,Aston Villa,16%,67%,17%
15,Fulham,16%,66%,18%
16,West Bromwich Albion,16%,64%,20%
17,Norwich,16%,66%,18%
18,Cardiff,15%,69%,16%
19,Swansea,15%,70%,16%
20,Manchester City,15%,69%,16%
