R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arsenal,20,4,55,524
2,Swansea,24,1,64,506
3,Manchester City,23,3,55,502
4,Liverpool,17,5,56,469
5,Southampton,23,2,70,457
6,Manchester United,27,2,62,447
7,Chelsea,21,1,62,432
8,Everton,22,1,68,431
9,Tottenham,23,1,64,421
10,Newcastle United,21,3,56,379
11,Stoke,19,1,62,356
12,Hull,23,1,67,347
13,West Bromwich Albion,22,1,60,341
14,Norwich,22,2,65,336
15,Fulham,19,1,68,334
16,Sunderland,20,1,66,330
17,Cardiff,21,1,64,321
18,Aston Villa,20,1,71,307
19,West Ham,25,1,66,274
20,Crystal Palace,19,1,60,263
