R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Newcastle United,10%,52%,38%
2,Fulham,9%,49%,42%
3,Sunderland,8%,41%,51%
4,Cardiff,8%,50%,42%
5,Swansea,8%,49%,43%
6,Southampton,7%,51%,42%
7,Everton,7%,47%,46%
8,Hull,7%,47%,46%
9,Norwich,7%,51%,42%
10,Chelsea,6%,47%,47%
11,Aston Villa,6%,50%,44%
12,Stoke,6%,47%,47%
13,Crystal Palace,6%,52%,42%
14,Tottenham,6%,54%,40%
15,Manchester City,6%,41%,52%
16,Arsenal,5%,47%,48%
17,Manchester United,5%,50%,45%
18,Liverpool,5%,47%,48%
19,West Ham,5%,49%,46%
20,West Bromwich Albion,5%,47%,48%
