R,Team,Own Third,Middle Third,Opposition Third
1,Fulham,31%,44%,25%
2,Cardiff,31%,43%,26%
3,Sunderland,30%,44%,25%
4,Stoke,30%,45%,25%
5,Crystal Palace,30%,43%,27%
6,West Ham,30%,42%,28%
7,Norwich,29%,43%,28%
8,Aston Villa,28%,46%,26%
9,Liverpool,28%,44%,28%
10,Everton,28%,43%,29%
11,Swansea,28%,47%,25%
12,Hull,28%,46%,26%
13,Southampton,27%,45%,28%
14,Newcastle United,27%,46%,27%
15,Arsenal,26%,45%,29%
16,West Bromwich Albion,26%,44%,30%
17,Chelsea,25%,44%,31%
18,Manchester United,25%,45%,30%
19,Tottenham,25%,46%,30%
20,Manchester City,23%,46%,31%
