R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Crystal Palace,26,2,70,480
2,Fulham,27,2,65,446
3,Hull,20,1,69,443
4,Norwich,22,2,65,427
5,Aston Villa,23,2,68,426
6,Cardiff,25,2,66,417
7,West Ham,24,3,60,412
8,Sunderland,25,2,60,408
9,Stoke,22,1,58,405
10,West Bromwich Albion,23,1,73,403
11,Newcastle United,20,2,65,390
12,Arsenal,20,2,60,376
13,Swansea,19,1,58,364
14,Manchester United,19,1,62,354
15,Manchester City,18,2,58,352
16,Liverpool,22,1,59,350
17,Tottenham,18,2,61,343
18,Everton,20,2,59,342
19,Chelsea,19,1,61,337
20,Southampton,19,1,67,304
